Week Ending,Location,Fiscal Year,Week Number,Total Sales ($),Variable Hours,# of Transactions,Average Wage ($),Total Fixed ($),Variable Labor ($),Variable Labor %,Fixed Labor %,Total Labor ($),Total Labor %,Avg. Transaction,Total Sales PY,Variable Hours PY,# of Transactions PY,Total Labor % PY,Δ Sales %,Δ Hours %,Δ Total Labor %
2025-04-19,FELL,2025,16,"$21,743",143,1036,$15.77,$962.00,"$2,255.11",0.10,0.04,"$3,217.11",0.15,$20.99,,,,,,,
2025-04-19,VABE,2025,16,"$19,737",202,932,$15.76,$500.00,"$3,183.52",0.16,0.03,"$3,683.52",0.19,$21.18,,,,,,,
2025-04-19,WILL,2025,16,"$62,059",418,2875,$14.47,$500.00,"$6,048.46",0.10,0.01,"$6,548.46",0.11,$21.59,,,,,,,
2025-04-19,CHAR,2025,16,"$37,722",219,1973,$15.14,$500.00,"$3,315.66",0.09,0.01,"$3,815.66",0.10,$19.12,,,,,,,
2025-04-25,CHAR,2025,17,"$19,496",191,1205,$15.14,$500.00,"$2,891.74",0.15,0.03,"$3,391.74",0.17,$16.18,,,,,,,
2025-05-03,CHAR,2025,18,"$17,525",199,1134,$15.14,$500.00,"$3,012.86",0.17,0.03,"$3,512.86",0.20,$15.45,,,,,,,
2025-05-10,CHAR,2025,19,"$18,916",183,1106,$15.14,$500.00,"$2,770.62",0.15,0.03,"$3,270.62",0.17,$17.10,,,,,,,
2025-05-17,CHAR,2025,20,"$16,839",207,907,$15.14,$500.00,"$3,133.98",0.19,0.03,"$3,633.98",0.22,$18.57,,,,,,,
2025-05-24,CHAR,2025,21,"$18,413",199,1094,$15.14,$500.00,"$3,012.86",0.16,0.03,"$3,512.86",0.19,$16.83,,,,,,,
2025-05-31,CHAR,2025,22,"$19,141",217,1083,$15.14,$500.00,"$3,285.38",0.17,0.03,"$3,785.38",0.20,$17.67,,,,,,,
2025-06-07,CHAR,2025,23,"$19,823",206,1162,$15.14,$500.00,"$3,118.84",0.16,0.03,"$3,618.84",0.18,$17.06,,,,,,,
2025-06-14,CHAR,2025,24,"$15,966",198,951,$15.14,$500.00,"$2,997.72",0.19,0.03,"$3,497.72",0.22,$16.79,,,,,,,
2025-04-26,FELL,2025,17,"$12,570",139,724,$15.89,$962.00,"$2,208.71",0.18,0.08,"$3,170.71",0.25,$17.36,,,,,,,
2025-05-03,FELL,2025,18,"$15,935",170,894,$15.89,$962.00,"$2,701.30",0.17,0.06,"$3,663.30",0.23,$17.82,,,,,,,
2025-05-10,FELL,2025,19,"$14,807",160,798,$15.89,$962.00,"$2,542.40",0.17,0.06,"$3,504.40",0.24,$18.56,,,,,,,
2025-05-17,FELL,2025,20,"$18,610",182,1000,$15.89,$962.00,"$2,891.98",0.16,0.05,"$3,853.98",0.21,$18.61,,,,,,,
2025-05-24,FELL,2025,21,"$18,967",180,1070,$15.89,$962.00,"$2,860.20",0.15,0.05,"$3,822.20",0.20,$17.73,,,,,,,
2025-05-31,FELL,2025,22,"$18,906",192,972,$15.89,$962.00,"$3,050.88",0.16,0.05,"$4,012.88",0.21,$19.45,,,,,,,
2025-06-07,FELL,2025,23,"$18,803",182,1062,$15.89,$962.00,"$2,891.98",0.15,0.05,"$3,853.98",0.20,$17.71,,,,,,,
2025-06-14,FELL,2025,24,"$16,259",164,888,$15.89,$962.00,"$2,605.96",0.16,0.06,"$3,567.96",0.22,$18.31,,,,,,,
2025-04-26,VABE,2025,17,"$12,178",161,668,$15.76,$500.00,"$2,537.36",0.21,0.04,"$3,037.36",0.25,$18.23,,,,,,,
2025-05-03,VABE,2025,18,"$10,762",144,589,$15.76,$500.00,"$2,269.44",0.21,0.05,"$2,769.44",0.26,$18.27,,,,,,,
2025-05-10,VABE,2025,19,"$11,754",150,614,$15.76,$500.00,"$2,364.00",0.20,0.04,"$2,864.00",0.24,$19.14,,,,,,,
2025-05-17,VABE,2025,20,"$10,044",155,536,$15.76,$500.00,"$2,442.80",0.24,0.05,"$2,942.80",0.29,$18.74,,,,,,,
2025-05-24,VABE,2025,21,"$17,077",216,909,$15.76,$500.00,"$3,404.16",0.20,0.03,"$3,904.16",0.23,$18.79,,,,,,,
2025-05-31,VABE,2025,22,"$17,167",225,887,$15.76,$500.00,"$3,546.00",0.21,0.03,"$4,046.00",0.24,$19.35,,,,,,,
2025-06-07,VABE,2025,23,"$20,235",225,1087,$15.76,$500.00,"$3,546.00",0.18,0.02,"$4,046.00",0.20,$18.62,,,,,,,
2025-06-14,VABE,2025,24,"$19,863",255,964,$15.76,$500.00,"$4,018.80",0.20,0.03,"$4,518.80",0.23,$20.60,,,,,,,
2025-04-26,WILL,2025,17,"$32,184",344,1727,$14.47,$500.00,"$4,977.68",0.15,0.02,"$5,477.68",0.17,$18.64,,,,,,,
2025-05-03,WILL,2025,18,"$28,328",300,1746,$14.47,$500.00,"$4,341.00",0.15,0.02,"$4,841.00",0.17,$16.22,,,,,,,
2025-05-10,WILL,2025,19,"$27,026",302,1627,$14.47,$500.00,"$4,369.94",0.16,0.02,"$4,869.94",0.18,$16.61,,,,,,,
2025-05-17,WILL,2025,20,"$33,634",344,1791,$14.47,$500.00,"$4,977.68",0.15,0.01,"$5,477.68",0.16,$18.78,,,,,,,
2025-05-24,WILL,2025,21,"$31,805",333,1648,$14.47,$500.00,"$4,818.51",0.15,0.02,"$5,318.51",0.17,$19.30,,,,,,,
2025-05-31,WILL,2025,22,"$27,033",339,1406,$14.47,$500.00,"$4,905.33",0.18,0.02,"$5,405.33",0.20,$19.23,,,,,,,
2025-06-07,WILL,2025,23,"$26,725",349,1548,$14.47,$500.00,"$5,050.03",0.19,0.02,"$5,550.03",0.21,$17.26,,,,,,,
2025-06-14,WILL,2025,24,"$28,277",380,1529,$14.47,$500.00,"$5,498.60",0.19,0.02,"$5,998.60",0.21,$18.49,,,,,,,
2025-04-19,ANNA,2025,16,"$78,399",487,3877,$15.66,"$2,288.00","$7,626.42",0.10,0.03,"$9,914.42",0.13,$20.22,,,,,,,
2025-04-26,ANNA,2025,17,"$54,289",461,3094,$15.66,"$2,288.00","$7,219.26",0.13,0.04,"$9,507.26",0.18,$17.55,,,,,,,
2025-05-03,ANNA,2025,18,"$52,370",446,3225,$15.66,"$2,288.00","$6,984.36",0.13,0.04,"$9,272.36",0.18,$16.24,,,,,,,
2025-05-10,ANNA,2025,19,"$49,251",426,2727,$15.66,"$2,288.00","$6,671.16",0.14,0.05,"$8,959.16",0.18,$18.06,,,,,,,
2025-05-17,ANNA,2025,20,"$65,410",482,3511,$15.66,"$2,288.00","$7,548.12",0.12,0.03,"$9,836.12",0.15,$18.63,,,,,,,
2025-05-24,ANNA,2025,21,"$73,026",557,4048,$15.66,"$2,288.00","$8,722.62",0.12,0.03,"$11,010.62",0.15,$18.04,,,,,,,
2025-05-31,ANNA,2025,22,"$68,187",563,3747,$15.66,"$2,288.00","$8,816.58",0.13,0.03,"$11,104.58",0.16,$18.20,,,,,,,
2025-06-07,ANNA,2025,23,"$59,248",536,3489,$15.66,"$2,288.00","$8,393.76",0.14,0.04,"$10,681.76",0.18,$16.98,,,,,,,